Epoch_ms,FSR-1,FSR-2,FSR-3,FSR-4,FSR-5,FSR-6
1769641183301,0,0,0,0,0,11
1769641183302,0,0,0,0,0,11
1769641183304,0,0,0,0,0,11
1769641183305,0,0,0,0,0,10
1769641183306,0,0,0,0,0,11
1769641183308,0,0,0,0,0,10
1769641183309,0,0,0,0,0,12
1769641183311,0,0,0,0,0,11
1769641183312,0,0,0,0,0,11
1769641183314,0,0,0,0,0,11
1769641183315,0,0,0,0,0,11
1769641183316,0,0,0,0,0,10
1769641183318,0,0,0,0,0,12
1769641183319,0,0,0,0,0,11
1769641183321,0,0,0,0,0,10
1769641183322,0,0,0,0,0,11
1769641183323,0,0,0,0,0,11
1769641183325,0,0,0,0,0,11
1769641183326,0,0,0,0,0,11
1769641183328,0,0,0,0,0,11
1769641183329,0,0,0,0,0,11
1769641183331,0,0,0,0,0,12
1769641183332,0,0,0,0,0,11
1769641183333,0,0,0,0,0,11
1769641183335,0,0,0,0,0,11
1769641183336,0,0,0,0,0,10
1769641183338,0,0,0,0,0,10
1769641183339,0,0,0,0,0,10
1769641183341,0,0,0,0,0,9
1769641183342,0,0,0,0,0,11
1769641183343,0,0,0,0,0,9
1769641183345,0,0,0,0,0,11
1769641183346,0,0,0,0,0,10
1769641183348,0,0,0,0,0,11
1769641183349,0,0,0,0,0,10
1769641183351,0,0,0,0,0,11
1769641183352,0,0,0,0,0,9
1769641183353,0,0,0,0,0,11
1769641183355,0,0,0,0,0,11
1769641183356,0,0,0,0,0,11
1769641183358,0,0,0,0,0,10
1769641183359,0,0,0,0,0,10
1769641183360,0,0,0,0,0,11
1769641183362,0,0,0,0,0,9
1769641183363,0,0,0,0,0,11
1769641183365,0,0,0,0,0,10
1769641183366,0,0,0,0,0,11
1769641183368,0,0,0,0,0,11
1769641183369,0,0,0,0,0,12
1769641183370,0,0,0,0,0,11
1769641183372,0,0,0,0,0,11
1769641183373,0,0,0,0,0,12
1769641183375,0,0,0,0,0,11
1769641183376,0,0,0,0,0,11
1769641183378,0,0,0,0,0,11
1769641183379,0,0,0,0,0,11
1769641183380,0,0,0,0,0,11
1769641183382,0,0,0,0,0,11
1769641183383,0,0,0,0,0,11
1769641183385,0,0,0,0,0,12
1769641183386,0,0,0,0,0,11
1769641183387,0,0,0,0,0,11
1769641183389,0,0,0,0,0,11
1769641183390,0,0,0,0,0,11
1769641183392,0,0,0,0,0,12
1769641183393,0,0,0,0,0,12
1769641183395,0,0,0,0,0,11
1769641183396,0,0,0,0,0,10
1769641183397,0,0,0,0,0,11
1769641183399,0,0,0,0,0,12
1769641183400,0,0,0,0,0,11
1769641183402,0,0,0,0,0,13
1769641183403,0,0,0,0,0,12
1769641183405,0,0,0,0,0,13
1769641183406,0,0,0,0,0,13
1769641183407,0,0,0,0,0,12
1769641183409,0,0,0,0,0,12
1769641183410,0,0,0,0,0,11
1769641183412,0,0,0,0,0,11
1769641183413,0,0,0,0,0,12
1769641183414,0,0,0,0,0,11
1769641183416,0,0,0,0,0,12
1769641183417,0,0,0,0,0,12
1769641183419,0,0,0,0,0,11
