sample_index,recorded_at_iso,d1_epoch_ms,d1_fsr1,d1_fsr2,d1_fsr3,d1_fsr4,d1_fsr5,d1_fsr6,d2_epoch_ms,d2_fsr1,d2_fsr2,d2_fsr3,d2_fsr4,d2_fsr5,d2_fsr6
171,2026-04-02T19:28:14Z,1775158093135,0,0,0,0,0,0,1775158093544,0,0,0,0,0,0
172,2026-04-02T19:28:14Z,1775158093138,0,0,0,0,0,0,1775158093547,0,0,0,0,0,0
173,2026-04-02T19:28:14Z,1775158093141,0,0,0,0,0,0,1775158093547,0,0,0,0,0,0
174,2026-04-02T19:28:14Z,1775158093141,0,0,0,0,0,0,1775158093550,0,0,0,0,0,0
175,2026-04-02T19:28:14Z,1775158093144,0,0,0,0,0,0,1775158093553,0,0,0,0,0,0
176,2026-04-02T19:28:14Z,1775158093147,0,0,0,0,0,0,1775158093553,0,0,0,0,0,0
177,2026-04-02T19:28:14Z,1775158093147,0,0,0,0,0,0,1775158093556,0,0,0,0,0,0
178,2026-04-02T19:28:14Z,1775158093153,0,0,0,0,0,0,1775158093559,0,0,0,0,0,0
179,2026-04-02T19:28:14Z,1775158093153,0,0,0,0,0,0,1775158093562,0,0,0,0,0,0
180,2026-04-02T19:28:14Z,1775158093153,0,0,0,0,0,0,1775158093562,0,0,0,0,0,0
181,2026-04-02T19:28:14Z,1775158093156,0,0,0,0,0,0,1775158093562,0,0,0,0,0,0
182,2026-04-02T19:28:14Z,1775158093159,0,0,0,0,0,0,1775158093565,0,0,0,0,0,0
183,2026-04-02T19:28:14Z,1775158093159,0,0,0,0,0,0,1775158093568,0,0,0,0,0,0
184,2026-04-02T19:28:14Z,1775158093159,0,0,0,0,0,0,1775158093568,0,0,0,0,0,0
185,2026-04-02T19:28:14Z,1775158093162,0,0,0,0,0,0,1775158093568,0,0,0,0,0,0
186,2026-04-02T19:28:14Z,1775158093165,0,0,0,0,0,0,1775158093568,0,0,0,0,0,0
187,2026-04-02T19:28:14Z,1775158093165,0,0,0,0,0,0,1775158093574,0,0,0,0,0,0
188,2026-04-02T19:28:14Z,1775158093171,0,0,0,0,0,0,1775158093576,0,0,0,0,0,0
189,2026-04-02T19:28:14Z,1775158093171,0,0,0,0,0,0,1775158093580,0,0,0,0,0,0
190,2026-04-02T19:28:14Z,1775158093171,0,0,0,0,0,0,1775158093580,0,0,0,0,0,0
191,2026-04-02T19:28:14Z,1775158093177,0,0,0,0,0,0,1775158093582,0,0,0,0,0,0
192,2026-04-02T19:28:14Z,1775158093177,0,0,0,0,0,0,1775158093585,0,0,0,0,0,0
193,2026-04-02T19:28:14Z,1775158093180,0,0,0,0,0,0,1775158093585,0,0,0,0,0,0
